article_id,question_id,part_id,question_number,article_number,article_title,citation_label,parse_status,segment_count,segment_types,missing_segment_types,char_count,warning_types,suspiciously_short,source_url
st.i-ii.q018.a007,st.i-ii.q018,i-ii,18,7,"Is the species derived from the end, contained under the species derived from the object, as under its genus, or conversely?",I-II q.18 a.7,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3957,[],False,https://www.newadvent.org/summa/2018.htm#article7
st.i-ii.q018.a008,st.i-ii.q018,i-ii,18,8,Is any action indifferent in its species?,I-II q.18 a.8,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2287,[],False,https://www.newadvent.org/summa/2018.htm#article8
st.i-ii.q018.a009,st.i-ii.q018,i-ii,18,9,Can an individual action be indifferent?,I-II q.18 a.9,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3007,[],False,https://www.newadvent.org/summa/2018.htm#article9
st.i-ii.q018.a010,st.i-ii.q018,i-ii,18,10,Does a circumstance place a moral action in the species of good or evil?,I-II q.18 a.10,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2677,[],False,https://www.newadvent.org/summa/2018.htm#article10
st.i-ii.q018.a011,st.i-ii.q018,i-ii,18,11,"Does every circumstance that makes an action better or worse, place the moral action in the species of good or evil?",I-II q.18 a.11,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2071,[],False,https://www.newadvent.org/summa/2018.htm#article11
st.i-ii.q019.a001,st.i-ii.q019,i-ii,19,1,Does the goodness of the will depend on the object?,I-II q.19 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1231,[],False,https://www.newadvent.org/summa/2019.htm#article1
st.i-ii.q019.a002,st.i-ii.q019,i-ii,19,2,Does it depend on the object alone?,I-II q.19 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2489,[],False,https://www.newadvent.org/summa/2019.htm#article2
st.i-ii.q019.a003,st.i-ii.q019,i-ii,19,3,Does it depend on reason?,I-II q.19 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1408,[],False,https://www.newadvent.org/summa/2019.htm#article3
st.i-ii.q019.a004,st.i-ii.q019,i-ii,19,4,Does it depend on the eternal law?,I-II q.19 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1276,[],False,https://www.newadvent.org/summa/2019.htm#article4
st.i-ii.q019.a005,st.i-ii.q019,i-ii,19,5,Does erring reason bind?,I-II q.19 a.5,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],4873,[],False,https://www.newadvent.org/summa/2019.htm#article5
st.i-ii.q019.a006,st.i-ii.q019,i-ii,19,6,Is the will evil if it follows the erring reason against the law of God?,I-II q.19 a.6,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3199,[],False,https://www.newadvent.org/summa/2019.htm#article6
st.i-ii.q019.a007,st.i-ii.q019,i-ii,19,7,"Does the goodness of the will in regard to the means, depend on the intention of the end?",I-II q.19 a.7,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2172,[],False,https://www.newadvent.org/summa/2019.htm#article7
st.i-ii.q019.a008,st.i-ii.q019,i-ii,19,8,Does the degree of goodness or malice in the will depend on the degree of good or evil in the intention?,I-II q.19 a.8,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3854,[],False,https://www.newadvent.org/summa/2019.htm#article8
st.i-ii.q019.a009,st.i-ii.q019,i-ii,19,9,Does the goodness of the will depend on its conformity to the Divine will?,I-II q.19 a.9,ok,2,"[""resp"", ""ad""]",[],1129,[],False,https://www.newadvent.org/summa/2019.htm#article9
st.i-ii.q019.a010,st.i-ii.q019,i-ii,19,10,"Is it necessary for the human will, in order to be good, to be conformed to the Divine will, as regards the thing willed?",I-II q.19 a.10,ok,3,"[""resp"", ""ad"", ""ad""]",[],5802,[],False,https://www.newadvent.org/summa/2019.htm#article10
st.i-ii.q020.a001,st.i-ii.q020,i-ii,20,1,"Is goodness and malice first in the act of the will, or in the external action?",I-II q.20 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1981,[],False,https://www.newadvent.org/summa/2020.htm#article1
st.i-ii.q020.a002,st.i-ii.q020,i-ii,20,2,Does the whole goodness or malice of the external action depend on the goodness of the will?,I-II q.20 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1576,[],False,https://www.newadvent.org/summa/2020.htm#article2
st.i-ii.q020.a003,st.i-ii.q020,i-ii,20,3,Are the goodness and malice of the interior act the same as those of the external action?,I-II q.20 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3381,[],False,https://www.newadvent.org/summa/2020.htm#article3
st.i-ii.q020.a004,st.i-ii.q020,i-ii,20,4,Does the external action add any goodness or malice to that of the interior act?,I-II q.20 a.4,ok,3,"[""resp"", ""ad"", ""ad""]",[],2668,[],False,https://www.newadvent.org/summa/2020.htm#article4
st.i-ii.q020.a005,st.i-ii.q020,i-ii,20,5,Do the consequences of an external action increase its goodness or malice?,I-II q.20 a.5,ok,5,"[""resp"", ""ad"", ""ad"", ""ad"", ""ad""]",[],1687,[],False,https://www.newadvent.org/summa/2020.htm#article5
st.i-ii.q020.a006,st.i-ii.q020,i-ii,20,6,Can one and the same external action be both good and evil?,I-II q.20 a.6,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1638,[],False,https://www.newadvent.org/summa/2020.htm#article6
